3600.000,
-4900.000,
12770.000,
-20600.000,
7100.000,
-25500.000,
-19660.000,
5110.000,
-27730.000,
1700.000,
-7000.000,
9760.000,
-17100.000,
6050.000,
-11770.000,
-13000.000,
7280.000,
-30200.000,
3400.000,
-400.000,
21670.000,
-19700.000,
12200.000,
-26100.000,
-19660.000,
-6910.000,
-34090.000,
5600.000,
-5300.000,
10270.000,
-900.000,
7700.000,
-25600.000,
-10390.000,
5460.000,
-10570.000,
2100.000,
700.000,
9200.000,
-5600.000,
6400.000,
-8100.000,
-12520.000,
3890.000,
-9610.000,
4300.000,
-2600.000,
12770.000,
-20600.000,
5900.000,
-25500.000,
-19660.000,
3030.000,
-25310.000,
