episode,accumulated P/L,accumulated reward
1,5179.999999999155,5179.999999999155
2,-639.9999999996442,-639.9999999996442
3,0,0
4,0,0
5,0,0
6,3299.9999999998413,3299.9999999998413
7,-10499.999999999829,-10499.999999999829
8,-3920.000000000812,-3920.000000000812
9,-10900.000000000033,-10900.000000000033
10,-7400.000000000376,-7400.000000000376
11,1419.9999999982554,1419.9999999982554
12,1719.9999999995432,1719.9999999995432
13,-7439.999999999997,-7439.999999999997
14,-6299.99999999967,-6299.99999999967
15,-13610.00000000019,-13610.00000000019
16,7120.000000000177,7120.000000000177
17,510.0000000003017,510.0000000003017
18,-12179.999999999462,-12179.999999999462
19,-1889.9999999986521,-1889.9999999986521
20,10059.999999998585,10059.999999998585
21,3690.0000000004247,3690.0000000004247
22,10059.999999998727,10059.999999998727
23,439.99999999897386,439.99999999897386
24,5489.999999999502,5489.999999999502
25,-980.0000000001305,-980.0000000001305
26,-4959.999999999102,-4959.999999999102
27,-8060.000000000109,-8060.000000000109
28,6839.999999999841,6839.999999999841
29,-3699.999999999616,-3699.999999999616
30,270.0000000004379,270.0000000004379
31,80.00000000066734,80.00000000066734
32,-8749.999999999854,-8749.999999999854
33,-8470.00000000051,-8470.00000000051
34,-4810.000000000803,-4810.000000000803
35,-5429.999999999366,-5429.999999999366
36,5570.000000000735,5570.000000000735
37,-8259.999999999083,-8259.999999999083
38,5410.000000000392,5410.000000000392
39,2830.0000000017144,2830.0000000017144
40,-11320.00000000019,-11320.00000000019
41,-650.0000000014004,-650.0000000014004
42,1189.9999999991464,1189.9999999991464
43,-11280.000000000997,-11280.000000000997
44,-2169.999999999847,-2169.999999999847
45,-11250.000000000418,-11250.000000000418
46,6249.999999999291,6249.999999999291
