episode,accumulated P/L,accumulated reward
1,4930.000000000522,4930.000000000522
2,-2309.9999999993756,-2309.9999999993756
3,7000.000000000028,7000.000000000028
4,700.0000000000739,700.0000000000739
5,3099.9999999998804,3099.9999999998804
6,-2999.999999999972,-2999.999999999972
7,-3800.0000000000964,-3800.0000000000964
8,-8799.999999999669,-8799.999999999669
9,-6049.9999999994725,-6049.9999999994725
10,8650.000000000236,8650.000000000236
11,-8600.00000000028,-8600.00000000028
12,9069.999999999254,9069.999999999254
13,-7189.999999997955,-7189.999999997955
14,18550.00000000103,18550.00000000103
15,11789.999999999734,11789.999999999734
16,-2329.999999999758,-2329.999999999758
17,-6840.0000000001155,-6840.0000000001155
18,-979.9999999991378,-979.9999999991378
19,-12499.999999999141,-12499.999999999141
20,-130.00000000033765,-130.00000000033765
21,-7039.999999999367,-7039.999999999367
22,-7660.00000000062,-7660.00000000062
23,8110.0000000012005,8110.0000000012005
24,-10469.99999999997,-10469.99999999997
25,1630.0000000006783,1630.0000000006783
26,-20989.9999999996,-20989.9999999996
27,-5979.99999999985,-5979.99999999985
28,-22779.999999999633,-22779.999999999633
29,-12389.999999999753,-12389.999999999753
30,-12730.000000000247,-12730.000000000247
31,19549.999999998414,19549.999999998414
32,6710.000000000636,6710.000000000636
33,-4029.999999999348,-4029.999999999348
34,3640.0000000003265,3640.0000000003265
35,-1930.0000000002615,-1930.0000000002615
36,-5059.999999998868,-5059.999999998868
37,7900.000000000913,7900.000000000913
38,-679.9999999995523,-679.9999999995523
39,-3980.000000000384,-3980.000000000384
40,-11729.999999999876,-11729.999999999876
41,-5909.999999999513,-5909.999999999513
42,8400.000000000746,8400.000000000746
43,-5530.000000000542,-5530.000000000542
44,799.9999999999834,799.9999999999834
45,-3870.0000000008554,-3870.0000000008554
46,-5369.9999999989295,-5369.9999999989295
