episode,accumulated P/L,accumulated reward
1,4050.0000000014334,4050.0000000014334
2,-4829.999999999048,-4829.999999999048
3,-10700.000000000926,-10700.000000000926
4,11699.999999999873,11699.999999999873
5,7700.0000000001,7700.0000000001
6,-2000.0000000000282,-2000.0000000000282
7,12969.999999999829,12969.999999999829
8,-6590.0000000006285,-6590.0000000006285
9,3069.9999999995953,3069.9999999995953
10,-10199.999999999818,-10199.999999999818
11,-15799.999999999698,-15799.999999999698
12,-6899.999999999408,-6899.999999999408
13,-6300.000000000238,-6300.000000000238
14,10770.00000000012,10770.00000000012
15,290.0000000009593,290.0000000009593
16,-1540.0000000012462,-1540.0000000012462
17,2500.000000001135,2500.000000001135
18,-699.9999999993615,-699.9999999993615
19,-1739.999999999498,-1739.999999999498
20,-2459.9999999983866,-2459.9999999983866
21,-5000.0000000005675,-5000.0000000005675
22,19679.99999999946,19679.99999999946
23,-8570.000000000136,-8570.000000000136
24,6790.00000000073,6790.00000000073
25,-10919.999999998854,-10919.999999998854
26,1500.0000000000578,1500.0000000000578
27,-730.0000000005,-730.0000000005
28,11900.000000000407,11900.000000000407
29,6949.999999999218,6949.999999999218
30,-2919.999999999447,-2919.999999999447
31,-16100.000000000422,-16100.000000000422
32,229.99999999967713,229.99999999967713
33,5990.000000001603,5990.000000001603
34,3470.0000000006535,3470.0000000006535
35,-9719.9999999998,-9719.9999999998
36,-3240.0000000002656,-3240.0000000002656
37,5130.000000000338,5130.000000000338
38,4440.000000000309,4440.000000000309
39,4120.000000000774,4120.000000000774
40,459.9999999993545,459.9999999993545
41,-4500.0000000000255,-4500.0000000000255
42,4660.0000000005075,4660.0000000005075
43,2590.000000000152,2590.000000000152
44,-1210.000000001658,-1210.000000001658
45,3389.9999999998436,3389.9999999998436
46,4160.000000000676,4160.000000000676
