current ID,accumulated P/L,accumulated reward,reward,position,action,fpl,cu,ma1,ma2,ma3,ma4,ma5
121,0,0,0,1,1,0,0.6855188679245288,0,0,0,0,0
122,0,0,0,1,1,-0.06999999999999318,0.7555188679245219,0,0,0,0,0
123,0,0,0,1,0,0.0,0.6855188679245288,0,0,0,0,0
124,0,0,0,1,0,-0.06999999999999318,0.7555188679245219,0,0,0,0,0
125,0,0,0,1,0,-0.06999999999999318,0.7555188679245219,0,0,0,0,0
126,-699.9999999999318,-699.9999999999318,-699.9999999999318,0,3,-0.06999999999999318,0.7555188679245219,0,0,0,0,0
127,-699.9999999999318,-699.9999999999318,0,0,3,0,0.6855188679245288,0,0,0,0,0
128,-699.9999999999318,-699.9999999999318,0,0,0,0,0.6855188679245288,0,0,0,0,0
129,-699.9999999999318,-699.9999999999318,0,2,2,0,0.6855188679245288,0,0,0,0,0
130,-699.9999999999318,-699.9999999999318,0,2,2,0.06999999999999318,0.7555188679245219,0,0,0,0,0
131,-699.9999999999318,-699.9999999999318,0,2,1,0.06999999999999318,0.7555188679245219,0,0,0,0,0
132,-699.9999999999318,-699.9999999999318,0,2,1,0.0,0.6855188679245288,0,0,0,0,0
133,0.0,0.0,699.9999999999318,0,3,0.06999999999999318,0.7555188679245219,0,0,0,0,0
134,0.0,0.0,0,0,3,0,0.7555188679245219,0,0,0,0,0
135,0.0,0.0,0,0,3,0,0.6855188679245288,0,0,0,0,0
136,0.0,0.0,0,2,2,0,0.6355188679245316,0,0,0,0,0
137,0.0,0.0,0,2,0,0.0899999999999892,0.7255188679245208,0,0,0,0,0
138,0.0,0.0,0,2,2,0.10999999999999943,0.745518867924531,0,0,0,0,0
139,0.0,0.0,0,2,1,0.11999999999999034,0.7555188679245219,0,0,0,0,0
140,2399.999999999949,2399.999999999949,2399.999999999949,0,3,0.2399999999999949,0.8755188679245265,0,0,0,0,0
141,2399.999999999949,2399.999999999949,0,0,3,0,0.8755188679245265,0,0,0,0,0
142,2399.999999999949,2399.999999999949,0,2,2,0,0.9155188679245327,0,0,0,0,0
