current ID,accumulated P/L,accumulated reward,reward,position,action,fpl,cu,ma1,ma2,ma3,ma4,ma5
121,0,0,0,0,3,0,0.6855188679245288,0,0,0,0,0
122,0,0,0,0,0,0,0.7555188679245219,0,0,0,0,0
123,0,0,0,2,2,0,0.6855188679245288,0,0,0,0,0
124,699.9999999999318,699.9999999999318,699.9999999999318,0,3,0.06999999999999318,0.7555188679245219,0,0,0,0,0
125,699.9999999999318,699.9999999999318,0,2,2,0,0.7555188679245219,0,0,0,0,0
126,699.9999999999318,699.9999999999318,0,2,2,0.0,0.7555188679245219,0,0,0,0,0
127,0.0,0.0,-699.9999999999318,0,3,-0.06999999999999318,0.6855188679245288,0,0,0,0,0
128,0.0,0.0,0,0,3,0,0.6855188679245288,0,0,0,0,0
129,0.0,0.0,0,0,3,0,0.6855188679245288,0,0,0,0,0
130,0.0,0.0,0,2,2,0,0.7555188679245219,0,0,0,0,0
131,0.0,0.0,0,2,0,0.0,0.7555188679245219,0,0,0,0,0
132,0.0,0.0,0,2,2,-0.06999999999999318,0.6855188679245288,0,0,0,0,0
133,0.0,0.0,0,2,0,0.0,0.7555188679245219,0,0,0,0,0
134,0.0,0.0,0,2,0,0.0,0.7555188679245219,0,0,0,0,0
135,0.0,0.0,0,2,1,-0.06999999999999318,0.6855188679245288,0,0,0,0,0
136,0.0,0.0,0,2,1,-0.11999999999999034,0.6355188679245316,0,0,0,0,0
137,-300.00000000001137,-300.00000000001137,-300.00000000001137,0,3,-0.030000000000001137,0.7255188679245208,0,0,0,0,0
138,-300.00000000001137,-300.00000000001137,0,0,0,0,0.745518867924531,0,0,0,0,0
139,-300.00000000001137,-300.00000000001137,0,1,1,0,0.7555188679245219,0,0,0,0,0
140,-1500.0000000000568,-1500.0000000000568,-1200.0000000000455,0,3,-0.12000000000000455,0.8755188679245265,0,0,0,0,0
141,-1500.0000000000568,-1500.0000000000568,0,2,2,0,0.8755188679245265,0,0,0,0,0
142,-1500.0000000000568,-1500.0000000000568,0,2,0,0.04000000000000625,0.9155188679245327,0,0,0,0,0
143,-1500.0000000000568,-1500.0000000000568,0,2,1,-0.010000000000005116,0.8655188679245214,0,0,0,0,0
144,-1500.0000000000568,-1500.0000000000568,0,2,2,-0.010000000000005116,0.8655188679245214,0,0,0,0,0
145,-1500.0000000000568,-1500.0000000000568,0,2,2,0.01999999999999602,0.8955188679245225,0,0,0,0,0
146,-1500.0000000000568,-1500.0000000000568,0,2,2,0.01999999999999602,0.8955188679245225,0,0,0,0,0
147,-1500.0000000000568,-1500.0000000000568,0,2,0,0.010000000000005116,0.8855188679245316,0,0,0,0,0
148,-1400.0000000000057,-1400.0000000000057,100.00000000005116,0,3,0.010000000000005116,0.8855188679245316,0,0,0,0,0
149,-1400.0000000000057,-1400.0000000000057,0,0,3,0,0.8355188679245202,0,0,0,0,0
150,-1400.0000000000057,-1400.0000000000057,0,0,3,0,0.8455188679245254,0,0,0,0,0
