episode,accumulated P/L,accumulated reward
1,12949.999999999873,12949.999999999873
2,-89.99999999957708,-89.99999999957708
3,-3139.9999999986476,-3139.9999999986476
4,-1420.0000000012367,-1420.0000000012367
5,-6209.999999999958,-6209.999999999958
6,3990.0000000005725,3990.0000000005725
7,5539.999999998172,5539.999999998172
8,-7649.999999999438,-7649.999999999438
9,4220.000000000966,4220.000000000966
10,-12000.00000000003,-12000.00000000003
11,-1850.000000000593,-1850.000000000593
12,11660.000000000253,11660.000000000253
13,-10600.000000000164,-10600.000000000164
14,7609.99999999953,7609.99999999953
15,-13399.999999999893,-13399.999999999893
16,-10299.999999999869,-10299.999999999869
17,10130.000000000477,10130.000000000477
18,-2100.0000000000773,-2100.0000000000773
19,-1920.000000000071,-1920.000000000071
20,-2159.9999999996544,-2159.9999999996544
21,-14319.999999999598,-14319.999999999598
22,-8950.000000000957,-8950.000000000957
23,11080.000000001604,11080.000000001604
24,-8220.00000000017,-8220.00000000017
25,15970.00000000065,15970.00000000065
26,-5200.000000000245,-5200.000000000245
27,-14210.00000000021,-14210.00000000021
28,7269.999999998618,7269.999999998618
29,-8300.000000000126,-8300.000000000126
30,6599.99999999968,6599.99999999968
31,-11300.00000000024,-11300.00000000024
32,-5370.000000000061,-5370.000000000061
33,1349.9999999996235,1349.9999999996235
34,240.00000000029354,240.00000000029354
35,4869.999999998099,4869.999999998099
36,1030.0000000013656,1030.0000000013656
37,2880.000000000394,2880.000000000394
38,-4689.999999999373,-4689.999999999373
39,-14140.00000000115,-14140.00000000115
40,-12310.000000001082,-12310.000000001082
41,-6929.9999999988395,-6929.9999999988395
42,5059.999999999582,5059.999999999582
43,11570.000000000107,11570.000000000107
44,7040.000000000357,7040.000000000357
45,2150.0000000001783,2150.0000000001783
46,-15269.999999999587,-15269.999999999587
