episode,accumulated P/L,accumulated reward
1,9999.999999999718,9999.999999999718
2,5660.000000000026,5660.000000000026
3,-8689.999999999998,-8689.999999999998
4,2199.99999999956,2199.99999999956
5,-9299.999999999927,-9299.999999999927
6,-12199.999999999987,-12199.999999999987
7,-2570.0000000006175,-2570.0000000006175
8,-5400.0000000004875,-5400.0000000004875
9,-10800.000000000267,-10800.000000000267
10,820.00000000008,820.00000000008
11,17240.000000000888,17240.000000000888
12,-13699.999999999904,-13699.999999999904
13,910.0000000009361,910.0000000009361
14,5749.999999999177,5749.999999999177
15,2109.999999999416,2109.999999999416
16,7120.000000000033,7120.000000000033
17,309.9999999996355,309.9999999996355
18,-6810.000000000401,-6810.000000000401
19,-2729.9999999993934,-2729.9999999993934
20,3199.99999999993,3199.99999999993
21,-7520.0000000000955,-7520.0000000000955
22,-11990.000000000122,-11990.000000000122
23,9690.00000000192,9690.00000000192
24,-2709.9999999995807,-2709.9999999995807
25,13900.000000000577,13900.000000000577
26,-11000.000000000227,-11000.000000000227
27,-7210.00000000003,-7210.00000000003
28,-18109.999999999785,-18109.999999999785
29,7829.999999999867,7829.999999999867
30,-1839.9999999986958,-1839.9999999986958
31,-6189.9999999997135,-6189.9999999997135
32,130.00000000033674,130.00000000033674
33,-9509.999999999793,-9509.999999999793
34,7179.999999999325,7179.999999999325
35,4890.000000000893,4890.000000000893
36,11489.999999999009,11489.999999999009
37,5259.999999999394,5259.999999999394
38,-3640.00000000047,-3640.00000000047
39,-8829.999999999243,-8829.999999999243
40,-440.0000000006794,-440.0000000006794
41,-5659.999999999884,-5659.999999999884
42,3820.000000001186,3820.000000001186
43,-4870.000000000942,-4870.000000000942
44,6860.00000000036,6860.00000000036
45,3499.9999999992324,3499.9999999992324
46,-8750.000000000426,-8750.000000000426
